,title,genres
408,Terminator Genisys,"Science Fiction, Action, Thriller, Adventure"
409,The Purge,"Science Fiction, Horror, Thriller"
410,Lady Bird,"Drama, Comedy"
411,Sicario,"Action, Crime, Thriller"
412,Wonder Woman 1984,"Action, Adventure, Fantasy"
413,Alien: Covenant,"Science Fiction, Horror, Mystery"
414,Glass,"Thriller, Drama, Science Fiction"
415,Oldboy,"Drama, Thriller, Mystery, Action"
416,About Time,"Drama, Romance, Fantasy"
417,After,"Romance, Drama"
418,Ocean's Eight,"Crime, Comedy, Action"
419,"Crazy, Stupid, Love.","Comedy, Drama, Romance"
420,The Conjuring 2,"Horror, Thriller"
421,Spotlight,"Drama, History"
422,Shaun of the Dead,"Horror, Comedy"
423,"The Good, the Bad and the Ugly",Western
424,Argo,"Drama, Thriller"
425,The Lost World: Jurassic Park,"Adventure, Action, Science Fiction"
426,Transformers: Dark of the Moon,"Action, Science Fiction, Adventure"
427,War of the Worlds,"Adventure, Thriller, Science Fiction"
428,Top Gun,"Romance, Drama, Action"
429,Source Code,"Thriller, Science Fiction, Mystery"
430,The Suicide Squad,"Action, Comedy, Adventure"
431,Ice Age: Dawn of the Dinosaurs,"Animation, Comedy, Family, Adventure"
432,Twelve Monkeys,"Science Fiction, Thriller, Mystery"
433,The Jungle Book,"Family, Adventure, Drama, Fantasy"
434,The Secret Life of Pets,"Adventure, Comedy, Animation, Family"
435,Free Guy,"Comedy, Adventure, Science Fiction"
436,12 Angry Men,Drama
437,Indiana Jones and the Kingdom of the Crystal Skull,"Adventure, Action"
438,Luca,"Animation, Comedy, Fantasy, Adventure, Family"
439,Transformers: Age of Extinction,"Science Fiction, Action, Adventure"
440,Ghost in the Shell,"Science Fiction, Drama, Action"
441,Fast Five,"Action, Thriller, Crime"
442,Real Steel,"Action, Science Fiction, Drama"
443,Bad Boys for Life,"Thriller, Action, Crime"
444,Top Gun: Maverick,"Action, Drama"
445,Baywatch,"Comedy, Action, Crime"
446,Sin City,"Thriller, Action, Crime"
447,The Help,Drama
448,Mission: Impossible - Fallout,"Action, Adventure"
449,Fifty Shades Freed,"Drama, Romance"
450,Snow White and the Huntsman,"Adventure, Fantasy, Drama"
451,Eternals,"Science Fiction, Action, Adventure"
452,Apocalypse Now,"Drama, War"
453,The Breakfast Club,"Comedy, Drama"
454,22 Jump Street,"Crime, Comedy, Action"
455,Sing,"Animation, Comedy, Family, Music"
456,Chappie,"Crime, Action, Science Fiction"
457,The Day After Tomorrow,"Action, Adventure, Science Fiction, Thriller"
458,The Simpsons Movie,"Animation, Comedy, Family"
459,Wonder,"Drama, Family"
460,Friends with Benefits,"Romance, Comedy"
461,Pride & Prejudice,"Drama, Romance"
462,10 Things I Hate About You,"Comedy, Romance, Drama"
